s;l
1106;brake.lining.remaining.rear.axle.3.right.wheel
1107;engine.protection.system.timer.state
1108;engine.protection.system.timer.override
1109;engine.protection.system.approaching.shutdown
1110;engine.protection.system.has.shutdown.engine
1111;engine.protection.system.configuration
1112;engine.compression.brake.output.3
1113;recommended.gear
1114;lowest.possible.gear
1115;highest.possible.gear
1116;engine.gaseous.fuel.correction.factor
1117;engine.desired.rated.exhaust.oxygen
1118;engine.desired.exhaust.oxygen
1119;engine.actual.exhaust.oxygen
1120;articulation.angle.2
1121;ebs.brake.switch
1122;engine.alternator.bearing.1.temperature
1123;engine.alternator.bearing.2.temperature
1124;engine.alternator.winding.1.temperature
1125;engine.alternator.winding.2.temperature
1126;engine.alternator.winding.3.temperature
1127;engine.turbocharger.1.boost.pressure
1128;engine.turbocharger.2.boost.pressure
1129;engine.turbocharger.3.boost.pressure
1130;engine.turbocharger.4.boost.pressure
1131;engine.intake.manifold.2.temperature
1132;engine.intake.manifold.3.temperature
1133;engine.intake.manifold.4.temperature
1134;engine.intercooler.thermostat.opening
1135;engine.oil.temperature.2
1136;engine.ecu.temperature.2
1137;engine.exhaust.gas.port.1.temperature
1138;engine.exhaust.gas.port.2.temperature
1139;engine.exhaust.gas.port.3.temperature
1140;engine.exhaust.gas.port.4.temperature
1141;engine.exhaust.gas.port.5.temperature
1142;engine.exhaust.gas.port.6.temperature
1143;engine.exhaust.gas.port.7.temperature
1144;engine.exhaust.gas.port.8.temperature
1145;engine.exhaust.gas.port.9.temperature
1146;engine.exhaust.gas.port.10.temperature
1147;engine.exhaust.gas.port.11.temperature
1148;engine.exhaust.gas.port.12.temperature
1149;engine.exhaust.gas.port.13.temperature
1150;engine.exhaust.gas.port.14.temperature
1151;engine.exhaust.gas.port.15.temperature
1152;engine.exhaust.gas.port.16.temperature
1153;engine.exhaust.gas.port.17.temperature
1154;engine.exhaust.gas.port.18.temperature
1155;engine.exhaust.gas.port.19.temperature
1156;engine.exhaust.gas.port.20.temperature
1157;engine.main.bearing.1.temperature
1158;engine.main.bearing.2.temperature
1159;engine.main.bearing.3.temperature
1160;engine.main.bearing.4.temperature
1161;engine.main.bearing.5.temperature
1162;engine.main.bearing.6.temperature
1163;engine.main.bearing.7.temperature
1164;engine.main.bearing.8.temperature
1165;engine.main.bearing.9.temperature
1166;engine.main.bearing.10.temperature
1167;engine.main.bearing.11.temperature
1168;engine.turbocharger.lube.oil.pressure.2
1169;engine.turbocharger.2.speed
1170;engine.turbocharger.3.speed
1171;engine.turbocharger.4.speed
1172;engine.turbocharger.1.compressor.inlet.temperature
1173;engine.turbocharger.2.compressor.inlet.temperature
1174;engine.turbocharger.3.compressor.inlet.temperature
1175;engine.turbocharger.4.compressor.inlet.temperature
1176;engine.turbocharger.1.compressor.inlet.pressure
1177;engine.turbocharger.2.compressor.inlet.pressure
1178;engine.turbocharger.3.compressor.inlet.pressure
1179;engine.turbocharger.4.compressor.inlet.pressure
1180;engine.turbocharger.1.turbine.inlet.temperature
1181;engine.turbocharger.2.turbine.inlet.temperature
1182;engine.turbocharger.3.turbine.inlet.temperature
1183;engine.turbocharger.4.turbine.inlet.temperature
1184;engine.turbocharger.1.turbine.outlet.temperature
